样品编号	组别	Clean Reads	Clean Bases (Gb)	Q20 (%)	Q30 (%)	GC (%)	去宿主后 Reads	宿主去除率 (%)
2_1	CK	62,833,212	9.45	98.79	94.13	63.35	62,735,210	0.16
2_5	CK	46,723,252	7.02	98.77	94.09	64.22	46,636,302	0.19
2_7	CK	54,148,834	8.14	98.77	93.97	63.78	54,081,454	0.12
8_1	A	42,644,564	6.41	98.74	93.99	64.78	42,571,094	0.17
8_2	A	43,970,490	6.61	98.91	94.65	62.03	43,907,954	0.14
8_3	A	44,754,432	6.73	98.91	94.69	63.68	44,684,566	0.16
8_4	A	39,431,678	5.93	98.81	94.16	63.13	39,363,732	0.17
9_1	B	53,955,122	8.12	98.84	94.24	63.38	53,892,492	0.12
9_2	B	50,670,964	7.62	98.81	94.17	61.98	50,601,520	0.14
9_3	B	49,350,332	7.43	98.84	94.26	62.06	49,285,326	0.13
